StateAbbr,StateDesc,CountyName,CountyFIPS,TotalPopulation,DIABETES_CrudePrev,OBESITY_CrudePrev,ACCESS2_CrudePrev,CSMOKING_CrudePrev,FOODINSECU_CrudePrev,Geolocation
TX,Texas,Bandera,48019,22637,15.7,35.5,14.1,13.9,,POINT (-99.2461161455462 29.7470267929359)
GA,Georgia,DeKalb,13089,762992,13.0,31.8,11.9,11.5,17.4,POINT (-84.2263845160089 33.7713752418002)
IA,Iowa,Harrison,19085,14670,12.5,35.2,6.7,15.8,11.2,POINT (-95.8167226043331 41.6829636707622)
GA,Georgia,Carroll,13045,127098,12.8,34.2,13.9,16.1,18.1,POINT (-85.0798243523077 33.582899616985)
AL,Alabama,Jefferson,1073,662895,15.1,37.4,9.1,13.7,20.1,POINT (-86.896632302754 33.554557948471)
KS,Kansas,Reno,20155,61497,13.2,44.0,10.2,16.9,14.4,POINT (-98.086052460433 37.9529762618218)
WA,Washington,Skamania,53059,12640,11.2,32.8,7.3,12.0,,POINT (-121.914619958321 46.02307583419)
KS,Kansas,Miami,20121,35320,10.8,35.0,7.7,13.8,9.6,POINT (-94.8381736354234 38.5636783083396)
AR,Arkansas,Polk,5113,19436,15.5,40.0,11.7,18.6,18.4,POINT (-94.2282210393227 34.4858592435429)
IA,Iowa,Howard,19089,9376,12.4,38.0,7.5,16.6,12.0,POINT (-92.3171182025825 43.356772932656)
CO,Colorado,Dolores,8033,2513,11.5,27.3,10.2,14.9,,POINT (-108.517382189661 37.7520546286538)
AR,Arkansas,Jefferson,5069,63661,17.6,45.9,12.1,17.3,27.2,POINT (-91.9306504433258 34.2684876070299)
MA,Massachusetts,Norfolk,25021,727473,9.0,23.5,3.8,9.2,9.4,POINT (-71.2079315371717 42.1619857272555)
OR,Oregon,Marion,41047,346741,12.5,43.4,12.3,12.4,,POINT (-122.584363912766 44.9033832526733)
AL,Alabama,Geneva,1061,26988,16.4,42.3,11.8,19.4,20.9,POINT (-85.8396481010202 31.0950365894133)
MO,Missouri,Madison,29123,12698,13.2,37.7,9.6,19.3,14.2,POINT (-90.3449925444979 37.4780468766804)
MN,Minnesota,Wadena,27159,14241,12.7,38.4,8.8,17.2,13.9,POINT (-94.9695492629098 46.5858860394597)
